movie_id;title;genres;avg_rating;num_votes;budget;revenue;release_date;original_language;popularity;keywords
tt0038650;It's a Wonderful Life;Drama,Family,Fantasy;8.6;508186;3180000.0;9644124.0;1946-12-20;en;46.604;small town,angel,suicide attempt,holiday,bank,great depression,family business ,nervous breakdown,old house,newlywed,magic realism,told in flashback,alternative reality,guardian angel,high school dance,christmas,sincere
tt0038787;Notorious;Drama,Film-Noir,Romance;7.9;109169;2000000.0;24500000.0;1946-08-21;en;18.315;daughter,marriage proposal,nazi,undercover,espionage,atomic bomb,love at first sight,poison,spy,fbi,patriotism,rio de janeiro,wine cellar,staircase,film noir,black and white,millionaire,intoxication,american spy,spy thriller
tt0039628;Miracle on 34th Street;Comedy,Drama,Family;7.9;55488;630000.0;2700000.0;1947-06-04;en;22.253;court,judge,parent child relationship,holiday,department store,santa claus,thanksgiving,psychologist,lawyer,little girl,black and white,single mother,district attorney,skepticism,holiday season,commercialism,christmas,rationalism,loss of faith,mother daughter relationship,preserved film
tt0040522;Bicycle Thieves;Drama;8.3;178953;133000.0;450159.0;1948-07-21;it;14.643;rome, italy,italian,society,riding a bicycle,search,poster,thief,stolen bicycle,madame,unemployment,realism,neo realism,italian neo realism
tt0040746;Rope;Crime,Drama,Mystery;7.9;157447;1500000.0;2200000.0;1948-03-11;en;18.822;philosophy,banquet,rope,strangle,based on play or musical,murder,technicolor,dinner party,academia,single location,superiority
tt0040897;The Treasure of the Sierra Madre;Adventure,Drama,Western;8.2;134451;3800000.0;4307000.0;1948-01-15;en;17.597;gold,mexico,based on novel or book,greed,gold rush,gold mine,friends,money,american,bandit,prospector,1920s
tt0041959;The Third Man;Film-Noir,Mystery,Thriller;8.1;185602;0.0;1226098.0;1949-08-31;en;49.917;staged death,black market,cemetery,investigation,soviet military,prater,british army,austria,cover-up,film noir,foot chase,vienna, austria,sewer,missing person,post world war ii,ferris wheel,grim,penicillin,forged passport,ominous
tt0042192;All About Eve;Drama;8.2;141193;1400000.0;8400000.0;1950-11-09;en;13.611;playwright,hollywood,black and white,relationship,insecurity,broadway,based on short story,broadway star,stage struck,preserved film
tt0042332;Cinderella;Animation,Family,Fantasy;7.3;177312;2900000.0;263600000.0;1950-02-22;en;67.498;princess,based on novel or book,loss of loved one,mouse,ball,fairy,prince,villain,musical,midnight,love,orphan,family,female villain,evil stepmother,stepsister,fairy godmother,cendrillon
tt0042546;Harvey;Comedy,Drama,Fantasy;7.9;58895;0.0;0.0;1950-12-04;en;28.71;sanatorium,based on play or musical,imaginary friend,mental institution,black and white,police officer,rabbit,mental illness,screwball comedy,commitment,brother sister relationship
tt0042876;Rashomon;Crime,Drama,Mystery;8.2;184703;250000.0;117668.0;1950-08-26;ja;14.611;dying and death,japan,samurai,rape,court case,court,truth,rain,woodcutter,subjectivity,medium,sunlight,criminal,based on short story,multiple perspectives,jidaigeki,philosophical,heian period,preserved film
tt0043014;Sunset Boulevard;Drama,Film-Noir;8.4;241543;1752000.0;5000000.0;1950-08-10;en;23.069;new year's eve,jealousy,loss of sense of reality,screenwriter,butler,delusion,diva,film noir,hollywood,los angeles, california,black and white,madness,aging actor,has been,silent film star,grandiose  behavior,kept man,movie studio,bitter
tt0043265;The African Queen;Adventure,Drama,Romance;7.7;85569;1000000.0;10750000.0;1952-01-07;en;16.501;world war i,faith,africa,missionary,boat,river,hope,patriotism,hippopotamus,giraffe,methodist church,animal species,moqukito,boat wedding,leech,gin,tanzania,congo,man woman relationship,technicolor
tt0043274;Alice in Wonderland;Adventure,Animation,Comedy;7.3;157242;3000000.0;57200000.0;1951-07-28;en;50.403;dream,heart,queen,villain,cartoon cat,nothing,female villain,tea party,based on young adult novel,adaptation
tt0043456;The Day the Earth Stood Still;Drama,Sci-Fi;7.7;86970;995000.0;1850000.0;1951-09-28;en;16.981;spacecraft,flying saucer,peace,remote control,ufo,social commentary,giant robot,black and white,military,physics professor,humanity,alien technology
tt0044079;Strangers on a Train;Crime,Drama,Film-Noir;7.9;143394;1200000.0;7000000.0;1951-06-27;en;14.905;infidelity,island,based on novel or book,perfect crime,psychopath,obsession,detective,suspicion,theory,carousel ,lighter,gay interest,film noir,stalking,black and white,train,strangulation,double cross,amusement park,husband wife estrangement,chance meeting,cocktail party,fiancée,perfect murder,penn station,storm drain,tennis match,tennis pro,trains,murder swap
tt0044081;A Streetcar Named Desire;Drama;7.9;115797;1800000.0;8000000.0;1951-09-19;en;18.7;loss of sense of reality,rape,sibling relationship,southern usa,brother-in-law,violent husband,new orleans, louisiana,family relationships,black and white,light bulb,expectant father,sister sister relationship
tt0044706;High Noon;Drama,Thriller,Western;7.9;111904;730000.0;8000000.0;1952-06-09;en;26.261;gunslinger,showdown,fistfight,u.s. marshal,shootout,morality,black and white,battle,justice,one against many,quick draw,brawl,ticking clock
