people_id;name;popularity;imdb_id;gender
87772;Rajkumar Santoshi;0.809;nm0764316;2
56059;Patrick Read Johnson;1.687;nm0425957;2
12453;Wong Kar-wai;8.536;nm0939182;2
19303;Kevin Smith;11.241;nm0003620;2
21085;Alex Proyas;3.816;nm0001639;2
7396;Peter Farrelly;6.59;nm0268380;2
10723;Mike Newell;5.176;nm0001565;2
15812;Roger Allers;4.861;nm0021249;2
18898;Rob Minkoff;2.54;nm0591450;2
58094;Gillian Armstrong;1.078;nm0000788;1
13426;Peter Segal;3.293;nm0781842;2
7399;Ben Stiller;37.787;nm0001774;2
58072;John Pasquin;3.531;nm0664756;2
2034;Danny Boyle;5.639;nm0000965;2
4027;Frank Darabont;10.429;nm0001104;2
26648;Luis Llosa;1.092;nm0515891;2
2209;Jan de Bont;3.72;nm0000957;2
2380;David Carson;2.295;nm0141222;2
1726;Steven E. de Souza;3.885;nm0211823;2
4489;Steve Oedekerk;9.191;nm0644203;2
58137;Chris Noonan;2.476;nm0003088;2
865;Michael Bay;24.363;nm0000881;2
65390;Scott Kalvert;0.937;nm0436284;2
57691;Tamra Davis;1.158;nm0205542;1
2461;Mel Gibson;71.586;nm0000154;2
11887;Brad Silberling;2.859;nm0797869;2
15148;Jon Amiel;1.539;nm0000750;2
60295;John N. Smith;0.351;nm0808807;2
504;Tim Robbins;25.313;nm0000209;2
35771;Aditya Chopra;3.66;nm0159147;2
25210;Jeremy Leven;1.575;nm0505230;2
55790;Allan Moyle;0.883;nm0610496;2
3110;Allison Anders;1.719;nm0025978;1
3111;Alexandre Rockwell;1.099;nm0734319;2
37932;F. Gary Gray;6.437;nm0336620;2
10702;Martin Campbell;4.347;nm0132709;2
15775;Kevin Lima;4.175;nm0510674;2
1978;Iain Softley;2.24;nm0812200;2
2406;Mathieu Kassovitz;10.335;nm0440913;2
59997;Robert Longo;0.777;nm0519434;2
33279;Danny Cannon;3.0;nm0134176;2
51917;Larry Clark;2.564;nm0164187;2
12180;Mamoru Oshii;6.941;nm0651900;2
6111;Mike Figgis;2.311;nm0001214;2
555254;Yoshifumi Kondo;3.93;nm0464911;2
4014;Paul W. S. Anderson;6.663;nm0027271;2
11472;Irwin Winkler;6.145;nm0005563;2
65530;Mike Gabriel;1.32;nm0300265;2
65531;Eric Goldberg;2.769;nm0325196;2
1614;Ang Lee;4.925;nm0000487;2
7879;John Lasseter;18.918;nm0005124;2
32277;Geoff Murphy;1.093;nm0614276;2
15254;Emir Kusturica;8.184;nm0001437;2
9032;Bryan Singer;4.808;nm0001741;2
17403;Mike Judge;11.666;nm0431918;2
5655;Wes Anderson;18.159;nm0027572;2
9340;Lana Wachowski;9.203;nm0905154;1
9339;Lilly Wachowski;8.273;nm0905152;1
42;Lars von Trier;12.036;nm0001885;2
41549;Andrew Fleming;4.859;nm0281598;2
18878;Rob Cohen;2.803;nm0003418;2
45649;Paris Barclay;3.912;nm0054077;2
2239;Anthony Minghella;4.791;nm0005237;2
109445;Yavuz Turgul;2.253;nm0877078;2
2523;Stuart Baird;3.282;nm0000829;2
17494;Dennis Dugan;5.349;nm0240797;2
7395;Bobby Farrelly;4.018;nm0125803;2
17812;Gregory Hoblit;3.347;nm0387706;2
6201;Baz Luhrmann;4.967;nm0525303;2
33433;Scott Hicks;3.871;nm0382956;2
879;Billy Bob Thornton;26.797;nm0000671;2
23677;Joe Pytka;1.099;nm0701592;2
2388;Jonathan Frakes;16.695;nm0000408;2
11694;Doug Liman;6.644;nm0510731;2
31;Tom Hanks;83.061;nm0000158;2
12881;Gary Goldman;2.306;nm0325776;2
6737;Jay Roach;4.314;nm0005366;2
141450;Mel Smith;4.36;nm0809321;2
4762;Paul Thomas Anderson;8.577;nm0000759;2
7213;Jonathan Mostow;2.949;nm0609236;2
22461;Vincent Gallo;12.208;nm0001252;2
4818;Roberto Benigni;11.104;nm0000905;2
110695;Majid Majidi;2.405;nm0006498;2
12786;Simon West;3.524;nm0922346;2
31024;Betty Thomas;3.364;nm0858525;1
7256;Lee Tamahori;4.945;nm0848414;2
56911;Les Mayfield;2.139;nm0562645;2
57630;Peter Cattaneo;1.514;nm0146341;2
6011;Michael Haneke;6.249;nm0359734;2
8685;Andrew Niccol;6.514;nm0629272;2
54967;Sam Weisman;1.548;nm0918873;2
11218;Alfonso Cuarón;18.319;nm0190859;2
58294;George Armitage;1.65;nm0000786;2
1215;Raja Gosnell;2.969;nm0331532;2
33254;Jim Gillespie;2.144;nm0318947;2
5501;Gary Fleder;3.579;nm0001219;2
10828;Guillermo del Toro;24.555;nm0868219;2
26714;John R. Leonetti;5.121;nm0502954;2
1704;Gore Verbinski;5.421;nm0893659;2
3045;P.J. Hogan;3.475;nm0389591;2
51984;Mimi Leder;4.731;nm0001460;1
58178;David Mirkin;2.078;nm0592400;2
1230252;Peter Howitt;4.409;nm0398185;2
87130;Mark A.Z. Dippé;3.104;nm0228147;2
17883;David O. Russell;2.797;nm0751102;2
69353;Stephen Kessler;2.124;nm0450387;2
57370;Frank Coraci;3.2;nm0178997;2
814;Tony Kaye;1.292;nm0443411;2
18863;Eric Darnell;3.634;nm0201509;2
52870;Tim Johnson;2.659;nm0426333;2
5953;Spike Jonze;8.322;nm0005069;2
10808;Stephen Norrington;4.136;nm0635759;2
7775;Stephen Sommers;5.398;nm0814085;2
53304;Peter Lord;6.618;nm0520485;2
7314;Nick Park;6.079;nm0661910;2
17167;Andy Tennant;4.582;nm0855035;2
20400;Tim Story;1.932;nm1103162;2
16391;Julie Taymor;1.505;nm0853380;1
956;Guy Ritchie;25.08;nm0005363;2
2460;Randall Wallace;3.753;nm0908824;2
23213;Harold Becker;2.244;nm0000887;2
66190;Tony Bancroft;3.249;nm0051643;2
66191;Barry Cook;1.499;nm0176905;2
58316;John Fortenberry;2.771;nm0287198;2
17698;Nancy Meyers;7.247;nm0583600;1
4723;Brian Helgeland;3.69;nm0001338;2
23964;Gary Ross;2.555;nm0002657;2
2171;Griffin Dunne;15.274;nm0001162;2
21879;Simon Wells;2.503;nm0920425;2
59803;Brenda Chapman;3.214;nm0152312;1
44113;Steve Hickner;2.25;nm9054338;2
11091;Brett Ratner;4.426;nm0711840;2
15774;Chris Buck;4.067;nm0118333;2
9198;Vincent Ward;2.601;nm0911910;2
9200;John McNaughton;2.084;nm0573796;2
12523;Rob Bowman;3.97;nm0101385;2
61411;Mark Dindal;3.804;nm0227540;2
34891;Mike Johnson;1.856;nm0425843;2
